fecha;estacion004;estacion008;estacion011;estacion035;estacion038;estacion039;estacion047;estacion048;estacion049;estacion050
06/23/2017;36.0;80.0;35.0;36.0;34.0;41.0;27.0;40.0;21.0;54.0
06/24/2017;25.0;58.0;24.0;30.0;19.0;24.0;20.0;24.0;14.0;33.0
06/25/2017;40.0;50.0;32.0;42.0;33.0;29.0;32.0;24.0;19.0;28.0
06/26/2017;32.0;55.0;30.0;35.0;29.0;28.0;23.0;30.0;17.0;38.0
06/27/2017;39.0;62.0;31.0;38.0;26.0;29.0;32.0;35.0;22.0;40.0
06/28/2017;19.0;44.0;17.0;21.0;15.0;16.0;11.0;16.0;8.0;24.0
06/29/2017;28.0;39.0;22.0;24.0;18.0;15.0;10.0;16.0;7.0;26.0
06/30/2017;31.0;32.0;27.0;23.0;22.0;14.0;17.0;9.0;30.0
07/01/2017;11.0;20.0;10.0;18.0;18.0;8.0;15.0;4.0;4.0;13.0
07/02/2017;19.0;28.0;12.0;24.0;20.0;12.0;15.0;7.0;8.0;12.0
07/03/2017;42.0;47.0;36.0;44.0;38.0;28.0;26.0;29.0;17.0;28.0
07/04/2017;45.0;48.0;39.0;43.0;28.0;30.0;26.0;30.0;16.0;25.0
07/05/2017;39.0;48.0;36.0;39.0;25.0;27.0;19.0;30.0;13.0;31.0
07/06/2017;40.0;54.0;39.0;49.0;38.0;27.0;41.0;32.0;29.0;34.0
07/07/2017;41.0;53.0;35.0;47.0;40.0;30.0;39.0;30.0;27.0;31.0
07/08/2017;42.0;51.0;36.0;45.0;32.0;31.0;35.0;26.0;19.0;31.0
07/09/2017;37.0;62.0;40.0;44.0;33.0;36.0;37.0;35.0;28.0;34.0
07/10/2017;36.0;61.0;34.0;40.0;31.0;36.0;28.0;32.0;17.0;48.0
07/11/2017;56.0;71.0;47.0;56.0;43.0;47.0;47.0;47.0;29.0;52.0
07/12/2017;69.0;94.0;60.0;68.0;61.0;71.0;54.0;61.0;41.0;66.0
07/13/2017;74.0;101.0;62.0;78.0;66.0;66.0;63.0;59.0;46.0;62.0
07/14/2017;62.0;76.0;42.0;61.0;50.0;43.0;42.0;41.0;30.0;51.0
07/15/2017;35.0;45.0;27.0;42.0;24.0;25.0;21.0;15.0;14.0;18.0
07/16/2017;31.0;42.0;32.0;41.0;31.0;28.0;28.0;23.0;12.0;28.0
07/17/2017;51.0;67.0;45.0;50.0;41.0;44.0;37.0;40.0;22.0;44.0
07/18/2017;43.0;59.0;42.0;46.0;33.0;35.0;29.0;37.0;22.0;38.0
07/19/2017;26.0;53.0;24.0;32.0;22.0;23.0;19.0;28.0;12.0;39.0
07/20/2017;37.0;57.0;35.0;40.0;30.0;27.0;21.0;29.0;16.0;38.0
07/21/2017;33.0;57.0;31.0;35.0;26.0;28.0;25.0;32.0;19.0;44.0
07/22/2017;36.0;54.0;25.0;35.0;22.0;23.0;21.0;24.0;16.0;32.0
07/23/2017;43.0;40.0;21.0;41.0;23.0;16.0;27.0;15.0;12.0;23.0
07/24/2017;31.0;38.0;25.0;38.0;28.0;20.0;23.0;16.0;13.0;24.0
07/25/2017;21.0;29.0;18.0;32.0;24.0;12.0;17.0;10.0;9.0;19.0
07/26/2017;41.0;53.0;41.0;43.0;34.0;27.0;27.0;25.0;20.0;33.0
07/27/2017;56.0;66.0;40.0;50.0;43.0;39.0;38.0;29.0;46.0
07/28/2017;63.0;93.0;60.0;55.0;52.0;59.0;44.0;38.0;61.0
07/29/2017;57.0;72.0;56.0;51.0;41.0;51.0;38.0;47.0;33.0;54.0
07/30/2017;42.0;57.0;31.0;39.0;27.0;34.0;32.0;29.0;23.0;35.0
07/31/2017;40.0;56.0;35.0;37.0;29.0;31.0;29.0;31.0;20.0;41.0
08/01/2017;30.0;53.0;31.0;38.0;25.0;25.0;22.0;27.0;15.0;37.0
08/02/2017;50.0;59.0;39.0;50.0;34.0;33.0;39.0;37.0;26.0;39.0
08/03/2017;58.0;61.0;41.0;52.0;38.0;42.0;39.0;38.0;27.0;43.0
08/04/2017;47.0;57.0;42.0;50.0;32.0;28.0;36.0;30.0;21.0;36.0
08/05/2017;43.0;51.0;21.0;43.0;22.0;22.0;28.0;18.0;16.0;25.0
08/06/2017;15.0;30.0;10.0;27.0;11.0;13.0;11.0;8.0;6.0;18.0
08/07/2017;29.0;46.0;22.0;34.0;20.0;20.0;18.0;23.0;13.0;29.0
08/08/2017;21.0;32.0;21.0;29.0;19.0;14.0;14.0;14.0;9.0;22.0
08/09/2017;22.0;29.0;16.0;30.0;20.0;12.0;17.0;12.0;11.0;18.0
08/10/2017;16.0;24.0;11.0;28.0;17.0;9.0;13.0;7.0;7.0;12.0
08/11/2017;26.0;33.0;21.0;36.0;23.0;14.0;20.0;17.0;12.0;17.0
08/12/2017;36.0;34.0;24.0;44.0;22.0;25.0;21.0;21.0;10.0;20.0
08/13/2017;37.0;46.0;30.0;42.0;26.0;30.0;30.0;23.0;17.0;20.0
08/14/2017;36.0;34.0;27.0;37.0;19.0;21.0;19.0;20.0;12.0;17.0
